-2.1140802,6.256049,9.229648,0.0580322,-0.8509353,-0.118507855,-22.08,-46.559998,-42.239998
-2.1859062,6.1650696,9.186552,0.13683382,-0.820392,-0.11911872,-22.08,-46.559998,-42.239998
-2.1452048,6.131551,9.016563,0.23579398,-0.8002335,-0.11362094,-22.199999,-46.86,-42.239998
-2.0590134,6.1770406,8.755595,0.2883284,-0.8063421,-0.10934488,-22.5,-46.92,-41.94
-1.934515,6.1985884,8.456321,0.312763,-0.8222246,-0.10567969,-22.5,-46.92,-41.94
-1.6519991,6.2608376,7.599196,0.312763,-0.8894198,-0.108123146,-22.8,-47.28,-41.76
-1.5251064,6.2967505,7.2352777,0.27855456,-0.929126,-0.11056661,-23.039999,-46.98,-41.82
-1.412579,6.3422403,6.88333,0.23396139,-0.9718866,-0.11911872,-23.039999,-46.98,-41.82
-1.2186487,6.3925185,6.4499793,0.14782938,-1.0305296,-0.1337795,-22.5,-46.92,-41.82
-1.0366893,6.4380083,6.1938,0.076358154,-1.073901,-0.14660765,-22.5,-46.92,-41.82
-0.6871359,6.5457473,5.861006,-0.11789699,-1.1636983,-0.21013765,-23.039999,-46.98,-42.059998
-0.5674258,6.5960255,5.8226986,-0.204029,-1.1979067,-0.24251351,-22.68,-46.62,-42.3
-0.49320555,6.5984197,5.899313,-0.28710666,-1.2321151,-0.2828306,-22.68,-46.62,-42.3
-0.5434838,6.6486983,6.160281,-0.38728857,-1.2687671,-0.33658674,-22.8,-47.28,-42.36
-0.61052144,6.667852,6.4284315,-0.44898596,-1.2913691,-0.37568212,-22.8,-47.28,-42.36
-0.6799533,6.6846113,6.742072,-0.49357912,-1.3090842,-0.4147775,-22.8,-47.52,-41.64
-0.6368576,6.658275,6.993463,-0.53023106,-1.3133603,-0.45631635,-22.8,-47.52,-41.64
-0.44771573,6.576872,7.1993647,-0.535118,-1.2950343,-0.5112942,-22.859999,-47.76,-41.1
-0.23942018,6.481104,7.3071036,-0.52778757,-1.251052,-0.5589417,-22.859999,-47.76,-41.1
-0.016759412,6.315904,7.386112,-0.51068336,-1.1795808,-0.6102544,-22.74,-48.12,-40.68
0.24420857,6.126762,7.5201874,-0.47769663,-1.0604621,-0.6927212,-22.74,-48.12,-40.68
