-7.8865004,3.1052797,-4.357447,0.080634214,-0.06414085,-0.015271631,20.4,5.22,40.559998
-7.9583263,3.1292217,-4.3861775,0.061086524,-0.070249505,-0.025045475,20.4,5.22,40.559998
-8.178593,3.2130187,-4.465186,-0.002443461,-0.059253927,-0.03359759,20.699999,4.98,39.78
-8.267179,3.2393548,-4.426879,-0.029932396,-0.05009095,-0.030543262,20.34,4.44,39.719997
-8.286332,3.2728736,-4.3742065,-0.06047566,-0.040317107,-0.029321533,20.34,4.44,39.719997
-8.394072,3.3279405,-4.27365,-0.106901415,-0.02443461,-0.021380283,20.46,4.44,39.54
-8.415619,3.3446999,-4.249708,-0.12644911,-0.016493361,-0.02076942,20.46,4.44,39.54
-8.461109,3.3399115,-4.2161894,-0.15515977,0.003054326,-0.017715093,21.24,4.44,39.54
-8.477868,3.3303347,-4.1635165,-0.18875736,0.035430185,-0.013439035,21.24,4.44,39.54
-8.475474,3.323152,-4.06296,-0.21135938,0.062308256,-0.005497787,21.24,4.38,39.78
-8.47308,3.3375173,-3.9959226,-0.22602014,0.08368854,-0.003665192,21.24,4.38,39.78
-8.477868,3.3375173,-3.9576154,-0.23396139,0.09468412,-0.001221731,21.24,4.38,39.78
-8.494628,3.3327289,-3.7684734,-0.2565634,0.13439035,0.01160644,21.42,4.38,39.239998
-8.497022,3.3566709,-3.6870706,-0.26145032,0.15577064,0.017715093,21.42,4.38,39.239998
-8.477868,3.3063924,-3.3686419,-0.2602286,0.20463985,0.02565634,20.82,4.08,39.059998
-8.470686,3.2992098,-3.3279405,-0.2602286,0.20463985,0.02565634,20.82,4.08,39.059998
-8.47308,3.2872388,-3.1435869,-0.22968534,0.23640485,0.03970624,19.859999,3.6599998,39.059998
-8.47308,3.2872388,-3.1435869,-0.22968534,0.23640485,0.03970624,19.859999,3.6599998,39.059998
-8.50181,3.265691,-2.9759927,-0.18142697,0.25717425,0.054367006,19.5,3.48,38.76
-8.51857,3.2465374,-2.908955,-0.1600467,0.26267207,0.062308256,19.5,3.48,38.76
-8.559271,3.2321723,-2.8107927,-0.095294975,0.25778514,0.08002335,19.199999,3.78,39.18
-8.559271,3.241749,-2.791639,-0.06658431,0.2510656,0.087964594,19.199999,3.78,39.18
-8.566454,3.2489316,-2.7700913,-0.017715093,0.23518312,0.0983493,19.56,3.6,39.48
-8.597578,3.2704794,-2.813187,0.031154128,0.21197024,0.10873401,19.56,3.6,39.48
-8.532935,3.2752678,-2.9855695,0.14049901,0.13622294,0.12644911,19.5,3.9599998,39.54
-8.532935,3.2752678,-2.9855695,0.14049901,0.13622294,0.12644911,19.5,3.9599998,39.54
-8.511387,3.2728736,-3.0909145,0.18509217,0.103847094,0.12583824,19.56,3.9599998,39.48
-8.487445,3.2513258,-3.2489316,0.22357668,0.07880162,0.13133603,19.56,3.9599998,39.48
-8.446744,3.25372,-3.4691982,0.26633725,0.05009095,0.13194689,19.92,3.9599998,39.12
-8.437167,3.2489316,-3.6343982,0.28893927,0.032986723,0.13072516,19.92,3.9599998,39.12
-8.437167,3.2489316,-3.6343982,0.28893927,0.032986723,0.13072516,19.92,3.9599998,39.12
-8.418014,3.2752678,-3.8977604,0.31764993,0.009162978,0.12950343,19.74,4.2,38.76
